Operator,URL,Operator(URL),RxClojure,RxCpp,RxGroovy,RxJava 1․x,RxJava 2․x,RxJS,RxKotlin,RxNET,RxPHP,RxPY,Rxrb,RxScala,RxSwift
Aggregate,http://reactivex.io/documentation/operators/reduce.html,Reduce,into; iterate; reduce,iterate; reduce,collect; reduce,collect; reduce,collect; collectInto; reduce; reduceWith,reduce,collect; reduce,Aggregate,reduce,aggregate; expand; reduce,reduce,foldLeft; reduce,reduce
All,http://reactivex.io/documentation/operators/all.html,All,every,,all,all,all,every; jortSort; jortSortUntil,all,All,,all; every,all?,forall,
Amb,http://reactivex.io/documentation/operators/amb.html,Amb,,amb,amb; ambWith,amb; ambWith,amb; ambArray; ambWith,amb,amb; ambWith,Amb,race,amb,amb,amb,amb
ambArray,http://reactivex.io/documentation/operators/amb.html,Amb,,amb,amb; ambWith,amb; ambWith,amb; ambArray; ambWith,amb,amb; ambWith,Amb,race,amb,amb,amb,amb
ambWith,http://reactivex.io/documentation/operators/amb.html,Amb,,amb,amb; ambWith,amb; ambWith,amb; ambArray; ambWith,amb,amb; ambWith,Amb,race,amb,amb,amb,amb
and_,http://reactivex.io/documentation/operators/and-then-when.html,And/Then/When,,,and; then; when,and; then; when,,and; thenDo; when,and; then; when,And; Then; When,,and_; then_do; when,,,
And,http://reactivex.io/documentation/operators/and-then-when.html,And/Then/When,,,and; then; when,and; then; when,,and; thenDo; when,and; then; when,And; Then; When,,and_; then_do; when,,,
Any,http://reactivex.io/documentation/operators/contains.html,Contains,some,,contains; exists; isEmpty,contains; exists; isEmpty,any; contains; isEmpty,contains; findIndex; indexOf; isEmpty,contains; exists,Any; Contains,isEmpty,contains; find; find_index; is_empty; some,any?; contains?; none?,contains; exists; isEmpty,
apply,http://reactivex.io/documentation/operators/create.html,Create,generator,,create,create,create; generate; unsafeCreate,create; createWithDisposable; generate; generateWithAbsoluteTime; generateWithRelativeTime,create,Create; Generate,create,create; generate; generate_with_relative_time,create; generate,apply; create,create; generate
as_blocking,http://reactivex.io/documentation/operators/to.html,To,BlockingObservable.blocking; interpose; BlockingObservable.into; BlockingObservable.seq; sort; sort-by; sorted-list-by,as_blocking,BlockingObservable.from; BlockingObservable.getIterator; nest; toBlocking; BlockingObservable.toFuture; BlockingObservable.toIterable; toList; toMap; toMultiMap; toSortedList,BlockingObservable.from; BlockingObservable.getIterator; nest; toBlocking; BlockingObservable.toFuture; BlockingObservable.toIterable; toList; toMap; toMultiMap; toSortedList,blockingIterable; blockingLatest; blockingMostRecent; blockingNext; sorted; to; toFuture; toList; toMap; toMultimap; toSortedList,toArray; toMap; toSet,BlockingObservable.from; BlockingObservable.getIterator; toBlocking; BlockingObservable.toFuture; BlockingObservable.toIterable; toList; toMap; toMultiMap; toSortedList,GetEnumerator; ToArray; ToDictionary; ToEnumerable; ToEvent; ToEventPattern; ToList; ToLookup; ToTask,toArray,BlockingObservable.to_iterable; to_array; to_blocking; to_dict; to_future; to_iterable; to_list; to_marbles; to_set,to_a; to_h,nest; to; toArray; toBlocking; toBuffer; BlockingObservable.toFuture; toIndexedSeq; BlockingObservable.toIterable; toIterable; toIterator; BlockingObservable.toList; toList; toMap; toMultiMap; toSet; toStream; toTraversable; toVector,toArray
asObservable,http://reactivex.io/documentation/operators/from.html,From,seq,from,decode; from; fromAction; fromCallable; fromFunc0; fromRunnable; runAsync,decode; from; fromAction; fromCallable; fromFunc0; fromRunnable; runAsync,fromArray; fromCallable; fromFuture; fromIterable; fromPublisher,from; fromCallback; fromEvent; fromEventPattern; fromNodeCallback; fromPromise; of; ofArrayChanges; ofObjectChanges; ofWithScheduler; pairs,asObservable; from,AsObservable; FromAsyncPattern; FromEvent; FromEventPattern; ToObservable,fromArray; fromIterator; asObservable; fromPromise,from_array; from_callback; from_future; from_iterable; from_list; from_marbles; of,of_array; of_enumerable; of_enumerator,from; items,from; toObservable
AssertEqual,http://reactivex.io/documentation/operators/sequenceequal.html,SequenceEqual,,,sequenceEqual,sequenceEqual,sequenceEqual,sequenceEqual,sequenceEqual,AssertEqual; SequenceEqual,,sequence_equal,sequence_eql?,sequenceEqual; sequenceEqualWith,
asyncAction,http://reactivex.io/documentation/operators/start.html,Start,,,asyncAction; asyncFunc; deferFuture; forEachFuture; fromAction; fromCallable; fromFunc0; fromRunnable; start; startFuture; toAsync,asyncAction; asyncFunc; deferFuture; forEachFuture; fromAction; fromCallable; fromFunc0; fromRunnable; start; startFuture; toAsync,fromCallable,start; startAsync; toAsync,asyncAction; asyncFunc; deferFuture; forEachFuture; fromAction; fromCallable; fromFunc0; fromRunnable; start; startFuture; toAsync,Start; ToAsync,start,start; start_async; to_async,,,
asyncFunc,http://reactivex.io/documentation/operators/start.html,Start,,,asyncAction; asyncFunc; deferFuture; forEachFuture; fromAction; fromCallable; fromFunc0; fromRunnable; start; startFuture; toAsync,asyncAction; asyncFunc; deferFuture; forEachFuture; fromAction; fromCallable; fromFunc0; fromRunnable; start; startFuture; toAsync,fromCallable,start; startAsync; toAsync,asyncAction; asyncFunc; deferFuture; forEachFuture; fromAction; fromCallable; fromFunc0; fromRunnable; start; startFuture; toAsync,Start; ToAsync,start,start; start_async; to_async,,,
Average,http://reactivex.io/documentation/operators/average.html,Average,,average,averageDouble; averageFloat; averageInteger; averageLong,averageDouble; averageFloat; averageInteger; averageLong,,average,averageDouble; averageFloat; averageInteger; averageLong,Average,average,average,average,,
averageDouble,http://reactivex.io/documentation/operators/average.html,Average,,average,averageDouble; averageFloat; averageInteger; averageLong,averageDouble; averageFloat; averageInteger; averageLong,,average,averageDouble; averageFloat; averageInteger; averageLong,Average,average,average,average,,
averageFloat,http://reactivex.io/documentation/operators/average.html,Average,,average,averageDouble; averageFloat; averageInteger; averageLong,averageDouble; averageFloat; averageInteger; averageLong,,average,averageDouble; averageFloat; averageInteger; averageLong,Average,average,average,average,,
averageInteger,http://reactivex.io/documentation/operators/average.html,Average,,average,averageDouble; averageFloat; averageInteger; averageLong,averageDouble; averageFloat; averageInteger; averageLong,,average,averageDouble; averageFloat; averageInteger; averageLong,Average,average,average,average,,
averageLong,http://reactivex.io/documentation/operators/average.html,Average,,average,averageDouble; averageFloat; averageInteger; averageLong,averageDouble; averageFloat; averageInteger; averageLong,,average,averageDouble; averageFloat; averageInteger; averageLong,Average,average,average,average,,
